route_key,final_service_units
2025-02-24_03_47,1768
2025-02-07_36_07,2507
2025-02-14_46_26,2003
2025-02-12_38_36,1601
2025-01-31_39_45,1267
2025-01-18_23_13,2061
2025-01-05_46_15,1489
2025-01-18_47_46,2743
2025-01-11_02_21,1679
2025-01-07_19_32,2387
2025-02-21_48_45,1561
2025-01-27_28_45,2669
2025-02-17_23_13,2095
2025-01-16_09_46,6011
2025-02-24_46_18,1696
2025-01-14_48_45,2769
2025-02-26_36_11,2231
2025-02-15_47_05,4312
2025-02-12_05_45,1883
2025-01-24_18_46,1716
2025-02-21_47_06,2225
2025-02-17_12_36,2640
2025-01-30_25_23,993
2025-02-22_39_45,1908
2025-01-25_43_47,2514
2025-02-18_45_05,1725
2025-02-25_38_36,1596
2025-01-30_47_45,3725
2025-01-30_07_36,1243
2025-02-03_13_23,2799
2025-01-27_09_46,4352
2025-01-20_47_46,1854
2025-02-13_02_01,1664
2025-02-20_47_45,4749
2025-02-01_07_36,1658
2025-01-19_02_24,1259
2025-02-14_47_43,4895
2025-01-20_47_05,2662
2025-01-16_45_48,1965
2025-01-26_48_46,6521
2025-02-09_36_11,2894
2025-01-12_48_45,2155
2025-01-24_45_28,4684
2025-02-05_47_45,3548
2025-01-05_45_34,2050
2025-02-23_46_45,6346
2025-02-28_02_19,2856
2025-02-19_37_36,1427
2025-01-09_45_05,3883
2025-01-01_46_20,1287
2025-01-06_21_02,1434
2025-01-12_02_40,2019
2025-01-24_26_46,2064
2025-02-14_45_05,2782
2025-02-13_42_45,1474
2025-01-02_44_46,2647
2025-02-10_05_45,2286
2025-02-23_17_23,1778
2025-02-15_45_34,1902
2025-01-09_45_48,2969
2025-01-02_46_47,1846
2025-01-22_45_03,1544
2025-01-25_45_34,1861
2025-01-15_45_48,1595
2025-01-02_23_13,1768
2025-01-25_09_45,3223
2025-02-09_23_25,1410
2025-02-27_08_47,1434
2025-02-14_12_36,2354
2025-02-06_36_41,3685
2025-02-14_05_45,1571
2025-01-29_47_08,1154
2025-01-21_47_46,1622
2025-02-25_28_45,1716
2025-02-08_45_34,2460
2025-01-26_45_47,4401
2025-01-26_01_02,1622
2025-02-24_11_36,3169
2025-01-28_19_30,1573
2025-02-15_39_45,1834
2025-01-13_18_46,1266
2025-02-16_32_19,2925
2025-01-07_34_45,2363
2025-02-24_46_09,4047
2025-02-01_02_21,1584
2025-02-19_36_41,3568
2025-01-23_47_43,1716
2025-01-31_26_46,1989
2025-02-27_47_46,2038
2025-01-07_47_08,1297
2025-01-15_44_45,2316
2025-02-27_12_36,1724
2025-01-21_18_46,2646
2025-02-13_03_47,1626
2025-01-13_46_09,5295
2025-01-06_30_14,1259
2025-01-28_39_45,1588
2025-02-10_45_05,1699
2025-01-25_46_48,4366
2025-02-24_16_02,1725
2025-01-20_46_47,1858
2025-01-30_02_31,3112
2025-01-30_48_45,1227
2025-01-24_45_47,5216
2025-01-03_16_02,1561
2025-02-26_21_02,1103
2025-01-06_36_27,927
2025-02-11_38_36,1489
2025-01-30_20_46,1175
2025-01-18_20_46,2795
2025-01-21_40_02,2640
2025-01-21_09_46,5440
2025-02-10_02_16,1642
2025-02-08_45_28,3219
2025-02-25_47_05,4578
2025-02-24_47_08,1322
2025-01-19_27_36,1484
2025-02-20_46_47,2020
2025-02-26_07_36,1494
2025-01-22_02_30,1737
2025-02-09_28_47,3676
2025-02-09_21_02,2360
2025-01-07_42_45,1800
2025-01-17_23_13,1759
2025-01-04_35_46,2284
2025-01-03_47_46,2463
2025-01-26_46_44,2949
2025-02-06_08_47,1262
2025-02-13_01_02,1386
2025-02-20_02_14,1610
2025-02-20_02_40,2930
2025-02-06_46_15,1981
2025-01-25_02_14,1706
2025-02-28_33_46,1073
2025-01-11_21_02,1226
2025-02-16_47_02,2807
2025-02-07_02_14,2049
2025-02-08_07_36,1957
2025-01-13_21_02,1308
2025-02-25_47_08,1395
2025-02-08_01_02,1392
2025-01-16_46_47,1695
2025-01-20_33_46,2570
2025-01-16_47_08,1179
2025-02-12_07_36,1610
2025-01-07_37_36,101
2025-01-22_48_46,3814
2025-02-26_46_18,2082
2025-02-01_46_45,4255
2025-01-19_47_45,6803
2025-02-05_39_45,1507
2025-02-12_16_02,1401
2025-01-18_12_36,2076
2025-01-02_21_02,1440
2025-02-10_47_45,5342
2025-02-13_34_45,1687
2025-02-21_45_03,2318
2025-01-19_47_02,2526
2025-02-17_47_43,1829
2025-02-23_46_20,1950
2025-01-06_46_15,1372
2025-02-01_30_14,1577
2025-01-03_26_46,1885
2025-01-24_45_39,3674
2025-02-23_36_07,2241
2025-01-10_37_36,135
2025-02-21_39_45,1572
2025-01-20_36_27,1020
2025-02-02_47_05,3203
2025-02-24_47_10,1220
2025-01-19_46_18,1751
2025-01-08_19_02,1796
2025-02-23_47_30,2515
2025-01-11_02_40,3035
2025-01-06_36_07,1405
2025-02-20_45_03,2108
2025-01-14_40_02,2433
2025-02-01_02_31,1913
2025-02-12_02_24,1200
2025-01-02_40_02,2685
2025-01-30_23_25,849
2025-01-07_02_40,1772
2025-02-20_03_45,1467
2025-01-03_47_08,1731
2025-01-30_45_47,4781
2025-01-08_32_19,1996
2025-01-08_45_48,2063
2025-01-28_33_46,889
2025-02-28_47_45,4849
2025-02-16_45_46,6856
2025-01-15_38_36,891
2025-02-02_23_13,2000
2025-01-03_44_45,1258
2025-01-13_36_41,3395
2025-02-13_48_45,1325
2025-01-18_45_42,2020
2025-02-10_46_45,5897
2025-01-30_45_48,2731
2025-01-12_48_46,3456
2025-02-24_47_43,1945
2025-02-12_32_19,1857
2025-02-19_02_47,2139
2025-02-11_45_09,2798
2025-01-01_47_05,2914
2025-02-12_04_29,1137
2025-01-16_03_45,2736
2025-01-24_45_34,3623
2025-02-28_30_02,2424
2025-01-05_40_02,4216
2025-01-23_07_36,1488
2025-02-13_14_30,1540
2025-02-06_32_19,1831
2025-02-13_25_23,1022
2025-02-19_25_23,1690
2025-01-20_25_23,981
2025-02-18_28_45,2276
2025-01-31_17_23,1271
2025-02-10_47_30,2113
2025-01-24_08_47,1368
2025-02-01_46_44,4535
2025-02-18_46_33,888
2025-02-05_47_03,1490
2025-01-05_47_45,7720
2025-01-03_09_46,4633
2025-02-15_01_02,1454
2025-01-30_15_46,1028
2025-01-10_09_46,5586
2025-02-24_47_02,1995
2025-01-10_46_45,3819
2025-02-25_02_31,2338
2025-01-20_05_47,6111
2025-01-04_03_47,1453
2025-02-02_04_29,1367
2025-01-25_28_47,1874
2025-02-04_36_37,1283
2025-02-08_18_46,1864
2025-01-07_46_15,1337
2025-01-02_45_03,1549
2025-02-14_14_30,1775
2025-02-21_20_46,1663
2025-01-22_21_02,1058
2025-01-22_19_32,2088
2025-01-23_36_37,567
2025-02-11_48_46,5443
2025-02-02_45_05,1457
2025-01-08_22_36,1142
2025-02-07_25_23,1271
2025-02-23_01_02,1827
2025-01-07_47_30,1733
2025-02-02_25_23,1476
2025-02-09_05_47,5642
2025-02-15_47_28,3295
2025-02-22_42_45,1787
2025-02-10_37_36,1644
2025-01-14_35_46,2818
2025-02-14_30_02,2605
2025-02-09_48_46,7727
2025-01-23_39_45,1358
2025-01-27_05_47,2649
2025-01-06_05_45,2145
2025-02-21_14_30,1829
2025-02-19_41_36,2506
2025-02-23_12_36,3864
2025-01-29_43_47,1716
2025-02-09_36_07,2382
2025-02-04_19_30,2103
2025-02-16_40_02,3279
2025-02-24_09_45,3874
2025-01-11_03_45,1375
2025-01-09_47_06,3727
2025-01-28_47_08,999
2025-02-23_38_36,3164
2025-02-28_22_36,1644
2025-02-04_41_36,2936
2025-02-17_18_46,1862
2025-02-09_45_03,1472
2025-01-02_47_30,2142
2025-01-06_04_29,1217
2025-01-17_26_46,1702
2025-01-15_36_41,4262
2025-02-13_02_21,1653
2025-02-10_31_02,2933
2025-02-22_46_35,3108
2025-01-07_23_13,1315
2025-02-25_02_21,1344
2025-02-22_07_36,1928
2025-01-01_47_02,2339
2025-01-14_45_34,1043
2025-02-15_45_05,1910
2025-01-02_47_06,1587
2025-02-08_14_30,1983
2025-01-02_46_18,1480
2025-02-09_14_30,3684
2025-02-08_28_45,2064
2025-01-26_47_03,1445
2025-02-04_44_46,1749
2025-01-17_47_02,2097
2025-02-03_11_36,2828
2025-01-12_18_46,1349
2025-01-31_45_09,4631
2025-02-01_32_19,1979
2025-01-26_40_02,3204
2025-02-24_02_14,1240
2025-01-11_13_23,2098
2025-02-15_45_09,3541
2025-01-04_48_45,2682
2025-01-01_23_13,1511
2025-01-23_36_27,1157
2025-01-27_37_36,437
2025-01-03_36_22,1386
2025-02-21_44_45,1219
2025-02-23_46_33,1844
2025-01-30_28_45,1723
2025-01-19_45_48,1978
2025-01-03_18_46,1747
2025-01-31_36_12,2571
2025-01-18_35_46,4340
2025-02-18_45_34,1232
2025-01-17_31_02,1889
2025-02-11_36_41,3247
2025-02-23_41_36,3975
2025-01-17_02_40,3072
2025-01-24_45_05,2277
2025-02-17_15_46,1742
2025-02-20_11_36,2185
2025-01-11_09_45,3056
2025-02-27_45_46,5010
2025-01-21_46_35,1482
2025-02-09_47_30,2597
2025-01-18_46_48,5160
2025-01-22_13_23,1851
2025-01-23_11_36,1500
2025-02-28_46_35,5311
2025-01-11_45_48,3672
2025-01-30_36_07,1740
2025-02-08_41_36,3359
2025-02-27_09_46,5063
2025-02-09_02_16,1824
2025-01-19_36_07,1746
2025-02-28_12_36,2529
2025-01-28_47_43,1717
2025-02-23_28_45,4487
2025-02-27_45_48,2729
2025-02-16_02_19,2317
2025-02-18_02_24,1353
2025-02-26_45_48,2279
2025-01-07_02_30,1724
2025-02-14_46_44,4288
2025-01-09_45_09,4181
2025-01-28_48_46,2697
2025-02-20_02_30,2138
2025-02-12_31_02,1728
2025-02-18_36_07,1436
2025-02-05_36_37,1301
2025-01-13_45_46,4367
2025-02-14_23_25,1704
2025-01-12_05_47,2981
2025-01-06_28_45,2103
2025-01-28_27_36,1453
2025-02-06_37_36,1019
2025-01-15_45_05,2094
2025-01-27_38_36,1256
2025-02-20_36_12,1910
2025-01-03_46_26,1659
2025-01-25_39_45,1995
2025-01-06_02_47,1998
2025-02-10_45_03,1365
2025-02-28_46_20,2453
2025-01-27_02_21,1382
2025-02-07_45_05,2769
2025-01-16_05_45,2670
2025-01-07_47_02,1590
2025-01-04_23_13,2421
2025-02-17_26_46,1910
2025-01-24_43_47,1883
2025-01-21_17_23,1340
2025-01-08_46_35,3355
2025-02-25_32_19,1672
2025-02-28_15_46,1068
2025-02-17_07_36,2111
2025-02-05_46_18,1409
2025-01-12_38_36,1558
2025-01-09_22_36,978
2025-01-21_30_14,1342
2025-02-14_47_06,2637
2025-02-19_28_47,1772
2025-01-27_13_23,3171
2025-02-10_20_46,2329
2025-01-27_11_36,1916
2025-02-19_46_26,1633
2025-02-03_36_11,2045
2025-01-28_46_44,1403
2025-01-10_36_07,2681
2025-01-18_42_45,1689
2025-02-10_46_18,1743
2025-01-24_17_23,1242
2025-02-07_03_45,1289
2025-01-04_25_23,3524
2025-02-07_45_39,3827
2025-01-21_37_36,197
2025-02-22_02_21,1835
2025-02-28_27_36,1811
2025-01-03_47_28,2661
2025-01-23_02_21,1358
2025-02-04_04_29,1131
2025-02-01_47_28,2295
2025-01-26_47_28,2174
2025-01-21_45_44,930
2025-01-05_45_39,1495
2025-01-06_38_36,1083
2025-02-27_30_02,1516
2025-01-13_43_47,1613
2025-02-28_02_31,3637
2025-02-02_23_25,1143
2025-01-11_12_36,1933
2025-01-02_09_46,5093
2025-01-10_02_21,1676
2025-02-07_45_28,5321
2025-01-14_02_24,1028
2025-02-24_46_45,4935
2025-02-08_08_47,1494
2025-02-24_19_30,2085
2025-01-26_39_45,3463
2025-01-20_23_13,1685
2025-02-08_46_33,2444
2025-02-08_47_10,1380
2025-01-11_47_28,4756
2025-02-08_36_41,4221
2025-02-10_23_25,1470
2025-01-09_05_47,1801
2025-02-28_35_46,1798
2025-02-19_40_02,2436
2025-01-11_46_35,6950
2025-01-13_02_31,1493
2025-02-24_46_44,1789
2025-01-13_47_05,4477
2025-02-11_47_08,1330
2025-01-25_18_46,2151
2025-01-07_02_19,1708
2025-01-22_05_45,1998
2025-01-06_36_11,1495
2025-01-23_48_46,3012
2025-01-05_45_48,1568
2025-01-03_03_47,1338
2025-02-05_03_47,1424
2025-02-27_40_02,2009
2025-01-21_14_30,1551
2025-01-25_46_26,1784
2025-01-03_46_09,4886
2025-02-16_02_01,1731
2025-02-24_19_32,2555
2025-02-25_47_43,2333
2025-01-24_27_36,1113
2025-01-10_02_01,1494
2025-02-15_31_02,2312
2025-01-15_02_40,2362
2025-01-10_47_05,12218
2025-01-04_02_16,1625
2025-02-05_40_02,2194
2025-02-14_47_08,2544
2025-02-27_47_28,2731
2025-01-20_47_45,4651
2025-01-22_05_47,2300
2025-01-20_02_01,1331
2025-01-04_14_30,1859
2025-02-03_20_46,2184
2025-01-12_36_37,818
2025-02-25_19_02,1991
2025-02-04_45_44,1047
2025-01-15_45_46,3663
2025-01-31_03_45,1076
2025-02-27_48_45,2150
2025-01-02_36_11,1628
2025-01-12_11_36,1983
2025-02-15_37_36,1704
2025-02-10_45_47,4426
2025-01-12_19_30,2029
2025-02-09_36_37,1455
2025-02-25_44_45,1120
2025-01-28_47_46,1865
2025-01-29_02_16,1449
2025-01-11_35_46,1756
2025-01-09_03_45,1150
2025-01-28_02_40,2298
2025-02-09_02_47,2795
2025-01-16_38_36,830
2025-01-11_44_45,863
2025-02-01_36_37,1360
2025-01-24_02_16,1733
2025-01-30_46_35,2441
2025-02-19_45_03,1665
2025-02-27_46_09,5026
2025-01-09_47_10,2625
2025-01-30_11_36,1586
2025-02-24_48_46,4537
2025-01-12_01_02,1454
2025-01-25_23_25,1389
2025-01-30_46_45,3104
2025-01-14_05_47,4196
2025-02-22_19_30,2032
2025-01-17_35_46,3074
2025-02-21_09_45,3149
2025-02-01_02_16,1454
2025-02-28_41_36,2664
2025-02-13_30_02,1564
2025-02-12_28_47,2375
2025-01-08_47_43,5044
2025-01-06_47_05,3278
2025-01-01_45_46,6835
2025-01-05_41_36,4583
2025-01-05_46_48,4762
2025-02-15_30_02,3322
2025-01-22_26_46,1686
2025-01-13_19_02,1722
2025-01-05_47_10,1374
2025-02-12_45_05,1922
2025-02-06_47_28,2784
2025-02-28_47_43,3664
2025-01-22_02_19,2166
2025-01-13_45_03,1086
2025-02-21_03_45,1251
2025-02-04_08_47,1210
2025-01-01_47_46,2496
2025-02-02_45_46,6858
2025-02-27_47_45,4194
2025-01-26_17_23,1485
2025-02-23_04_29,1318
2025-01-18_45_44,1504
2025-01-15_45_09,2586
2025-01-18_36_07,2257
2025-01-15_46_18,1263
2025-01-19_47_06,1322
2025-02-11_47_30,1731
2025-02-01_28_45,1975
2025-01-24_31_02,1786
2025-02-14_30_14,2566
2025-01-30_36_11,1844
2025-01-07_02_01,1253
2025-02-09_30_02,3461
2025-02-02_11_36,2853
2025-01-04_47_43,2331
2025-01-05_16_02,2452
2025-01-01_11_36,2040
2025-01-11_26_46,2199
2025-01-24_01_02,1307
2025-02-22_28_45,2300
2025-01-09_31_02,1838
2025-02-03_38_36,1876
2025-01-29_47_28,2186
2025-01-27_02_14,1169
2025-02-23_06_47,2464
2025-02-04_07_36,1542
2025-02-13_33_46,799
2025-02-18_23_13,1601
2025-02-20_41_36,2229
2025-01-17_45_34,3156
2025-02-04_46_45,4332
2025-02-26_02_21,1496
2025-02-05_02_14,1294
2025-02-26_47_45,4130
2025-01-14_05_45,2361
2025-01-19_33_46,4410
2025-01-31_47_03,1767
2025-02-22_46_18,2007
2025-01-03_30_14,2149
2025-02-11_43_47,1710
2025-02-17_36_37,1612
2025-01-10_21_02,1168
2025-01-25_02_30,3413
2025-01-22_30_14,1165
2025-01-16_18_46,3360
2025-01-15_47_45,4313
2025-02-28_45_42,2731
2025-01-26_45_34,1681
2025-02-24_28_45,2901
2025-01-16_36_37,347
2025-02-25_18_46,1582
2025-01-31_12_36,2339
2025-02-14_38_36,1523
2025-02-25_36_22,1160
2025-02-15_46_26,1999
2025-02-02_13_23,2899
2025-02-03_48_46,5959
2025-02-03_18_46,2524
2025-01-24_40_02,2409
2025-01-19_02_31,1916
2025-01-29_47_06,1328
2025-01-25_42_45,1717
2025-02-22_36_27,1931
2025-02-18_42_45,1733
2025-01-26_02_24,1358
2025-01-12_46_47,1455
2025-01-24_47_02,2398
2025-02-13_46_35,2962
2025-02-03_09_46,6202
2025-01-26_36_27,1170
2025-02-20_32_19,1841
2025-02-26_48_46,4407
2025-02-12_23_13,1607
2025-02-09_15_46,2537
2025-02-19_31_02,1893
2025-01-18_41_36,3283
2025-02-02_46_20,1833
2025-01-20_45_03,1069
2025-02-22_22_36,1673
2025-01-30_35_46,1404
2025-02-01_30_02,2701
2025-01-05_31_02,3553
2025-01-21_47_02,1478
2025-02-22_08_47,1709
2025-01-13_44_46,1762
2025-01-28_36_27,1285
2025-02-25_22_36,1112
2025-01-26_45_03,1164
2025-02-22_45_34,2243
2025-02-14_36_11,4234
2025-02-09_19_02,3264
2025-01-11_46_09,7556
2025-01-29_47_02,1531
2025-02-02_45_39,1846
2025-01-13_17_23,1569
2025-02-21_47_02,2559
2025-01-12_36_12,1657
2025-02-07_17_23,1211
2025-02-10_19_30,2049
2025-02-09_22_36,2338
2025-01-05_07_36,2884
2025-02-20_43_47,1977
2025-01-13_30_02,2106
2025-02-26_45_05,1866
2025-01-19_45_05,1791
2025-02-12_36_27,2074
2025-02-01_45_05,1542
2025-02-06_44_45,1147
2025-02-07_05_47,2704
2025-02-22_36_11,3536
2025-01-13_46_18,2932
2025-01-27_25_23,1394
2025-02-25_12_36,1836
2025-02-18_37_36,1565
2025-02-01_02_47,1754
2025-02-13_26_46,1704
2025-01-09_46_45,2978
2025-01-07_09_46,3641
2025-01-26_36_12,1962
2025-01-30_45_39,2608
2025-01-23_02_30,1754
2025-02-04_45_05,1730
2025-01-06_25_23,1219
2025-02-07_45_09,5255
2025-01-23_47_03,1280
2025-01-01_04_29,1313
2025-01-17_46_33,1095
2025-01-08_28_45,1376
2025-02-24_47_45,4480
2025-01-30_46_09,4930
2025-02-03_46_48,2876
2025-01-14_46_47,1652
2025-01-29_30_14,1324
2025-01-25_02_16,1589
2025-01-04_22_36,1497
2025-01-28_23_25,1103
2025-02-12_46_26,1748
2025-02-19_09_45,3136
2025-02-04_47_43,1995
2025-01-30_47_05,2316
2025-02-03_47_46,1825
2025-01-31_36_07,1997
2025-01-23_23_13,1852
2025-01-10_28_47,2087
2025-02-13_46_26,1696
2025-01-30_34_45,1314
2025-01-12_46_45,3566
2025-02-12_42_45,1450
2025-01-23_46_15,1898
2025-02-09_19_32,3256
2025-01-19_36_12,1768
2025-02-11_25_23,1514
2025-01-28_47_45,3341
2025-02-18_45_48,1420
2025-01-19_46_48,4875
2025-02-06_40_02,2003
2025-02-06_05_47,2518
2025-02-05_09_45,2846
2025-01-24_47_46,2501
2025-01-21_47_28,1589
2025-01-22_37_36,163
2025-02-06_47_05,3296
2025-02-27_46_33,1147
2025-01-01_19_02,2712
2025-02-12_46_15,1232
2025-01-27_45_34,1239
2025-02-04_47_08,1116
2025-02-17_19_30,1887
2025-02-12_01_02,1419
2025-02-11_37_36,1485
2025-01-12_02_30,3077
2025-01-05_47_06,1767
2025-01-04_05_47,2518
2025-01-15_45_47,3916
2025-01-04_46_33,1269
2025-02-15_08_47,1695
2025-02-28_36_27,2234
2025-02-08_03_45,1632
2025-02-05_47_43,2466
2025-01-05_32_19,2724
2025-02-17_40_02,2783
2025-02-21_09_46,4789
2025-01-29_17_23,1116
2025-02-10_45_44,1221
2025-01-07_16_02,1463
2025-02-25_46_15,1386
2025-02-26_02_31,2377
2025-01-12_03_47,1186
2025-02-26_02_16,1587
2025-01-15_46_45,4347
2025-02-13_44_46,1623
2025-01-30_46_15,2031
2025-02-01_47_43,1759
2025-02-24_07_36,1849
2025-02-22_05_47,2904
2025-02-08_02_21,1700
2025-01-01_03_45,2719
2025-02-12_02_47,1958
2025-01-09_30_14,1621
2025-01-15_36_22,1138
2025-02-28_36_12,2477
2025-01-20_45_46,4067
2025-01-18_47_03,1414
2025-01-25_01_02,1300
2025-01-28_01_02,1400
2025-01-08_45_46,3595
2025-02-17_46_48,2748
2025-01-08_47_06,3331
2025-01-30_05_47,1873
2025-02-12_45_03,2022
2025-02-03_36_07,1477
2025-02-22_46_26,1922
2025-01-22_11_36,1476
2025-01-16_36_27,1215
2025-02-01_22_36,1501
2025-02-18_33_46,1140
2025-01-29_46_18,1529
2025-01-19_09_45,5810
2025-01-29_02_47,2052
2025-01-06_47_08,1032
2025-02-19_02_16,1570
2025-02-21_46_20,2253
2025-01-11_31_02,2603
2025-02-10_28_45,3310
2025-02-25_31_02,2146
2025-02-17_35_46,3116
2025-02-27_43_47,1823
2025-02-23_23_13,2073
2025-01-03_31_02,2261
2025-01-14_47_02,1509
2025-01-21_12_36,1543
2025-01-01_40_02,3322
2025-02-23_28_47,3566
2025-01-02_46_09,4876
2025-01-05_36_07,2103
2025-02-10_46_33,1114
2025-01-01_36_41,3851
2025-02-04_38_36,1652
2025-02-21_47_03,3012
2025-01-18_45_28,2919
2025-01-18_25_23,1548
2025-02-02_28_45,4545
2025-02-23_02_21,1625
2025-02-17_25_23,1119
2025-02-25_45_48,3294
2025-02-03_21_02,1489
2025-01-02_19_02,2235
2025-01-25_35_46,2038
2025-02-13_18_46,1271
2025-01-07_45_39,1133
2025-02-09_47_02,2601
2025-01-28_41_36,3351
2025-02-21_02_16,2172
2025-02-11_46_09,4184
2025-02-28_07_36,2073
2025-02-19_45_42,1829
2025-01-25_19_02,2637
2025-01-26_46_26,1804
2025-01-01_47_45,6959
2025-02-11_02_47,1854
2025-02-17_43_47,3420
2025-01-24_47_45,4197
2025-01-24_47_08,1634
2025-01-24_28_45,1287
2025-02-26_46_48,5435
2025-01-12_47_45,3717
2025-01-11_46_26,2575
2025-02-21_11_36,2470
2025-01-05_47_05,3886
2025-01-18_02_19,2495
2025-01-24_45_09,4678
2025-01-05_02_47,2893
2025-01-25_48_46,4369
2025-02-24_08_47,1847
2025-02-05_06_47,1332
2025-02-18_44_46,1990
2025-01-19_30_14,1336
2025-01-29_44_46,1491
2025-02-26_47_28,2466
2025-01-12_02_24,1127
2025-02-02_02_16,1733
2025-02-26_46_45,3740
2025-02-02_19_30,2552
2025-01-17_46_44,3250
2025-02-13_09_46,4172
2025-02-25_45_09,4820
2025-01-24_02_01,1725
2025-02-28_09_46,4679
2025-02-22_17_23,1288
2025-02-13_47_03,2342
2025-02-02_38_36,2022
2025-02-27_44_45,1121
2025-01-28_47_03,1285
2025-01-22_47_43,2130
2025-01-24_02_30,2564
2025-02-02_03_47,2595
2025-02-07_11_36,2317
2025-02-15_19_32,3417
2025-02-05_35_46,1540
2025-02-02_30_02,3104
2025-02-21_30_14,2589
2025-01-12_45_42,1766
2025-01-27_27_36,1708
2025-01-17_02_31,3208
2025-02-18_17_23,1335
2025-02-22_48_45,1839
2025-01-24_12_36,1874
2025-01-02_45_47,4500
2025-01-02_38_36,1132
2025-01-26_02_21,1450
2025-01-07_07_36,1270
2025-02-27_14_30,1553
2025-02-12_37_36,1520
2025-01-28_08_47,1341
2025-02-17_47_28,2143
2025-02-13_45_42,2493
2025-02-04_23_13,1465
2025-01-02_05_47,2963
2025-02-12_02_14,1425
2025-01-28_11_36,1927
2025-01-20_23_25,1214
2025-02-09_18_46,3206
2025-01-31_46_45,4373
2025-02-16_36_22,2193
2025-02-24_42_45,1919
2025-02-15_02_24,1559
2025-02-15_45_47,4664
2025-01-29_45_09,3265
2025-02-04_47_10,1061
2025-02-01_02_19,2380
2025-02-23_30_14,1515
2025-01-21_23_25,1590
2025-01-08_47_03,3382
2025-01-01_02_30,2047
2025-02-04_02_21,1292
2025-02-08_37_36,1590
2025-01-31_28_45,1281
2025-01-10_45_34,4105
2025-02-05_46_26,1528
2025-01-07_45_28,2496
2025-02-20_18_46,1438
2025-01-06_14_30,1864
2025-02-22_45_47,4513
2025-02-01_41_36,3430
2025-01-09_47_46,2466
2025-02-17_14_30,2019
2025-01-30_02_21,1547
2025-01-02_01_02,1441
2025-01-03_08_47,1360
2025-01-02_46_44,2252
2025-02-05_02_24,1208
2025-02-01_13_23,2063
2025-02-19_16_02,1352
2025-02-23_31_02,3684
2025-01-27_45_09,2182
2025-02-01_43_47,2460
2025-02-18_48_46,3339
2025-01-16_43_47,3947
2025-02-07_28_47,1812
2025-01-10_25_23,1473
2025-01-03_45_03,1936
2025-02-22_11_36,3125
2025-02-16_47_08,1738
2025-02-16_03_47,2825
2025-02-26_42_45,1500
2025-02-19_23_13,1463
2025-01-01_02_47,2301
2025-01-27_36_27,928
2025-01-16_25_23,1129
2025-01-04_02_01,1497
2025-02-24_02_24,1109
2025-02-04_02_30,1703
2025-02-14_36_07,2630
2025-01-08_45_42,1410
2025-02-17_48_45,2354
2025-02-23_45_42,2157
2025-01-20_11_36,1684
2025-02-04_43_47,1634
2025-02-07_45_34,3560
2025-01-10_46_33,4275
2025-02-04_46_44,1473
2025-02-27_25_23,1482
2025-02-28_06_47,1227
2025-02-08_36_12,2063
2025-01-01_39_45,3606
2025-01-21_02_40,2206
2025-01-22_19_30,1423
2025-01-31_45_34,3246
2025-01-26_11_36,2292
2025-02-10_47_05,2852
2025-02-21_43_47,2722
2025-01-04_12_36,1907
2025-01-08_30_14,1356
2025-02-22_45_05,1872
2025-02-28_46_47,2185
2025-01-20_36_37,369
2025-01-13_02_16,1220
2025-01-23_15_46,1329
2025-01-15_47_28,2204
2025-02-03_32_19,2744
2025-01-22_02_47,1844
2025-02-06_28_47,1895
2025-02-07_07_36,1917
2025-01-02_45_09,3399
2025-01-15_03_45,3136
2025-02-06_47_08,1472
2025-02-12_45_09,3234
2025-01-14_02_31,1778
2025-02-28_23_13,2377
2025-01-09_25_23,1392
2025-02-27_44_46,1969
2025-01-07_46_45,3644
2025-02-23_09_45,5624
2025-02-18_36_22,1248
2025-01-12_35_46,1952
2025-02-13_38_36,1357
2025-02-28_20_46,1985
2025-01-20_46_44,2093
2025-02-17_09_45,4483
2025-01-03_28_47,1351
2025-02-06_30_02,1716
2025-01-14_11_36,1615
2025-01-31_30_02,1908
2025-02-10_03_45,2045
2025-02-04_45_42,1400
2025-01-20_18_46,2952
2025-02-24_13_23,3059
2025-01-29_15_46,1165
2025-01-06_47_10,1238
2025-01-25_07_36,1659
2025-01-20_04_29,1340
2025-01-27_46_33,732
2025-02-23_19_32,3273
2025-02-13_11_36,3236
2025-01-01_28_47,1930
2025-01-30_09_45,2291
2025-01-13_03_45,1589
2025-02-22_31_02,2523
2025-01-22_01_02,1201
2025-01-04_13_23,2194
2025-02-19_08_47,1496
2025-02-14_44_45,1216
2025-02-18_45_39,1310
2025-02-15_23_25,1656
2025-01-19_04_29,1269
2025-01-05_25_23,2902
2025-02-13_19_30,1916
2025-01-02_28_47,1559
2025-02-03_47_05,2594
2025-02-25_02_01,1443
2025-01-25_05_47,2543
2025-02-14_02_21,2026
2025-02-11_47_46,1834
2025-02-04_02_47,2029
2025-01-29_46_09,3617
2025-01-08_27_36,1329
2025-02-13_43_47,2276
2025-01-05_14_30,3041
2025-02-18_18_46,1482
2025-01-07_46_09,3516
2025-02-04_39_45,1384
2025-02-14_02_40,3761
2025-02-12_45_42,1994
2025-01-27_47_05,2243
2025-01-12_04_29,1044
2025-01-08_35_46,1496
2025-02-05_46_15,1326
2025-02-26_03_45,1691
2025-01-17_45_09,4404
2025-02-10_45_34,1544
2025-01-29_02_30,1580
2025-01-26_22_36,1443
2025-01-15_09_45,4065
2025-01-30_30_02,1843
2025-02-02_47_45,6187
